Fecha;año;mes;día;Tipo de Egreso;Nota-Observacion; Valor ;Grupo 1;Quien paga;De donde Paga;Actuals / FCST
12/05/2026;2026;5;12;Funeraria los olivos;Funeraria los olivos; $60.000 ;GASTOS NO OPERACIONALES;Juan;EFECTIVO;ACT
7/05/2026;2026;5;7;Tela;Pago la Fayette; $2.540.501 ;COSTOS DIRECTOS;Juan;BBVA;ACT
5/03/2026;2026;3;5;Tela;Pago la Fayette; $9.157.654 ;COSTOS DIRECTOS;Juan;BBVA;ACT
23/02/2026;2026;2;23;Tela;Pago la Fayette; $5.491.445 ;COSTOS DIRECTOS;Juan;BBVA;ACT
2/02/2026;2026;2;2;Tela;Pago la Fayette; $9.479.797 ;COSTOS DIRECTOS;Juan;BBVA;ACT
8/05/2026;2026;5;8;Tela;pago Almacen SI; $10.842.109 ;COSTOS DIRECTOS;Juan;BANCOLOMBIA;ACT
15/05/2026;2026;5;15;Nómina Yaneth;pago de nomina quincenal de yaneth; $1.000.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
17/03/2026;2026;3;17;Tela;pago a Tejido de punto linda textil SA; $2.358.000 ;COSTOS DIRECTOS;Juan;BANCOLOMBIA;ACT
17/04/2026;2026;4;17;Mantenimiento carro;repuestos + mano de obra + alineacion y balanceo; $1.875.000 ;LOGÍSTICA Y TRANSPORTE;Juan;BBVA;ACT
15/04/2026;2026;4;15;Impuestos vehículo;Pago impuesto nissan qashqai 2026; $3.141.000 ;LOGÍSTICA Y TRANSPORTE;Juan;BBVA;ACT
15/04/2026;2026;4;15;Impuestos vehículo;Pago impuesto Renault duster; $1.960.000 ;LOGÍSTICA Y TRANSPORTE;Juan;BBVA;ACT
15/04/2026;2026;4;15;Internet almacen;Pago internet almacen; $70.693 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BBVA;ACT
15/04/2026;2026;4;15;Internet taller;Pago servicio hogar taller; $150.164 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;BANCOLOMBIA;ACT
15/04/2026;2026;4;15;Plan celular clelia/juan;Celular juan camilo; $36.388 ;GASTOS OPERACIONALES;Juan;BANCOLOMBIA;ACT
